Title,Phone_Number,Addresss,Rating,Num_rating,Rating Count,Price,Category,Cleaned Category,Website_URL,Latitudes,Longitudes,Image_URL,Description,Cleaned Addresss,Business Id
Faith Builders Gym,6 72 62 61 74,"5734+C9M Jupiter Night club, OIC BUEA - Opposite, Great Soppo, Buea",5,1,0.004713494,,Fitness Room, Fitness Room ,"https://www.google.com/maps/place/Faith+Builders+Gym/@4.1535933,9.2198681,14z/data=!4m10!1m2!2m1!1sgym+in+Buea!3m6!1s0x106133ea23777647:0x751a43194a6c9096!8m2!3d4.1535933!4d9.255917!15sCgtneW0gaW4gQnVlYZIBA2d5beABAA!16s%2Fg%2F11j5g3dffs!5m1!1e1?entry=ttu",4.1535933,9.2198681,,Fitness room, 5734 C9M Jupiter Night club  OIC BUEA - Opposite  Great Soppo  Buea ,0x106133ea23777647:0x751a43194a6c9096
Ministry of Justice South west Region Buea,,"564M+GC7, Bongo Square to Buea town Road, Buea",5,1,0.004621072,,Administration, Administration ,"https://www.google.com/maps/place/Ministry+of+Justice+South+west+Region+Buea/@4.1521093,9.2201938,15z/data=!4m10!1m2!2m1!1soffice+in+buea!3m6!1s0x106133792cd40807:0x85fe5f1fe59564d6!8m2!3d4.1562983!4d9.23356!15sCg5vZmZpY2UgaW4gYnVlYZIBEWdvdmVybm1lbnRfb2ZmaWNl4AEA!16s%2Fg%2F11nnqvl7py?entry=ttu",4.1521093,9.2201938,https://lh5.googleusercontent.com/p/AF1QipMky_GXapO1x8y0gdVj025OZEpe0-mCXPbuwOM1=w426-h240-k-no,Administration, 564M GC7  Bongo Square to Buea town Road  Buea ,0x106133792cd40807:0x85fe5f1fe59564d6
Treasury Buea,,"562Q+R7W, Buea",5,1,0.004621072,,Administration, Administration ,"https://www.google.com/maps/place/Treasury+Buea/@4.1521093,9.2201938,15z/data=!4m10!1m2!2m1!1soffice+in+buea!3m6!1s0x1061333b057020a5:0x1a9fc8060a22a961!8m2!3d4.1521093!4d9.2382182!15sCg5vZmZpY2UgaW4gYnVlYZIBEWdvdmVybm1lbnRfb2ZmaWNl4AEA!16s%2Fg%2F11jgjqn1wz?entry=ttu",4.1521093,9.2201938,,Administration, 562Q R7W  Buea ,0x1061333b057020a5:0x1a9fc8060a22a961
Governors Office Buea,2 33 32 26 51,"565J+54R, Buea",5,1,0.004621072,,Administration, Administration ,"https://www.google.com/maps/place/Governor%E2%80%99s+Office+Buea/@4.1573779,9.2116308,15z/data=!4m10!1m2!2m1!1soffice+in+buea!3m6!1s0x106133d8999378bd:0x934e33af3b50ad42!8m2!3d4.1573779!4d9.2296552!15sCg5vZmZpY2UgaW4gYnVlYZIBEWdvdmVybm1lbnRfb2ZmaWNl4AEA!16s%2Fg%2F11jz79y000?entry=ttu",4.1573779,9.2116308,https://lh5.googleusercontent.com/p/AF1QipPwdv7-VItbra7KOwnG26AaXouS_eEeiWeY-3aj=w426-h240-k-no,Administration, 565J 54R  Buea ,0x1061324555555555:0xaf5fc557fb7845a3
"Open Commons, University of Buea",,"Chariot Radio & Television, Open Commons, Buea",5,1,0.004621072,,Administration, Administration ,"https://www.google.com/maps/place/Open+Commons,+University+of+Buea/@4.1474244,9.2680239,15z/data=!4m10!1m2!2m1!1soffice+in+buea!3m6!1s0x1061313856da5447:0xb4db1fe5e19013ef!8m2!3d4.1474244!4d9.2860483!15sCg5vZmZpY2UgaW4gYnVlYZIBEWdvdmVybm1lbnRfb2ZmaWNl4AEA!16s%2Fg%2F11jt0qk8lp?entry=ttu",4.1474244,9.2680239,https://lh5.googleusercontent.com/p/AF1QipMzVjhKB_s5NgUN6aid6qhxjY5mrttiACxPvYsR=w408-h306-k-no,Administration, Chariot Radio & Television  Open Commons  Buea ,0x1061313856da5447:0xb4db1fe5e19013ef
Office Centrum,,"Garden parc / HIMS entrance, Apartment 3 right, Buea",5,2,0.009242144,,Air conditioning systems supplier, Air conditioning systems supplier ,"https://www.google.com/maps/place/Office+Centrum/@4.1509981,9.2759372,15z/data=!4m10!1m2!2m1!1soffice+in+buea!3m6!1s0x106131919ea1e1dd:0x7a51f226ae03bbe7!8m2!3d4.1509981!4d9.2939616!15sCg5vZmZpY2UgaW4gYnVlYZIBG2Fpcl9jb25kaXRpb25pbmdfY29udHJhY3RvcuABAA!16s%2Fg%2F11bbrlbpb5?entry=ttu",4.1509981,9.2759372,,Air conditioning systems supplier, Garden parc / HIMS entrance  Apartment 3 right  Buea ,0x106131919ea1e1dd:0x7a51f226ae03bbe7
Jerusalem Baptist Church,,"5825+P4V, Buea",5,1,0.004621072,,Baptist church, Baptist church ,"https://www.google.com/maps/place/Jerusalem+Baptist+Church/@4.165071,9.2639951,14z/data=!4m11!1m3!2m2!1schurch+in+buea!6e1!3m6!1s0x106131bbc32d4569:0xdef6dbccddffaa16!8m2!3d4.1518509!4d9.3077975!15sCg5jaHVyY2ggaW4gYnVlYZIBDmJhcHRpc3RfY2h1cmNo4AEA!16s%2Fg%2F11f3bb9ysf?entry=ttu",4.165071,9.2639951,https://lh5.googleusercontent.com/p/AF1QipMNVL_pZpD2SVO3paAxzjqsFgRKFEEMGgZnK2oB=w408-h240-k-no-pi-10-ya68.99999-ro-0-fo100,Baptist church, 5825 P4V  Buea ,0x106131bbc32d4569:0xdef6dbccddffaa16
Salem Baptist church,,"Mile 16, Buea",5,1,0.004621072,,Baptist church, Baptist church ,"https://www.google.com/maps/place/Salem+Baptist+church/@4.143131,9.270051,14z/data=!4m11!1m3!2m2!1schurch+in+buea!6e1!3m6!1s0x106131ad7cbf85ff:0x3775c37910adafb4!8m2!3d4.143131!4d9.3060999!15sCg5jaHVyY2ggaW4gYnVlYZIBDmJhcHRpc3RfY2h1cmNo4AEA!16s%2Fg%2F11pzhf5f5_?entry=ttu",4.143131,9.270051,,Baptist church, Mile 16  Buea ,0x106131ad7cbf85ff:0x3775c37910adafb4
Myfriend Snack Bar,,"46WW+872, Buea",5,5,0.02310536,,Bar, Bar ,"https://www.google.com/maps/place/Myfriend+Snack+Bar/@4.1457593,9.2095985,14z/data=!4m11!1m3!2m2!1ssnacks+in+buea!6e5!3m6!1s0x1061333b863ac0f7:0x45cdc6967dbe8c92!8m2!3d4.1457593!4d9.2456474!15sCg5zbmFja3MgaW4gYnVlYVoQIg5zbmFja3MgaW4gYnVlYZIBA2JhcpoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSVmFTMVFiVkpuRUFF4AEA!16s%2Fg%2F11hdvr319f?entry=ttu",4.1457593,9.2095985,https://lh5.googleusercontent.com/p/AF1QipPS9SgjZuDWkNTkZKkJDLHK9ihZNytaFt5NqXUa=w426-h240-k-no,Image on site to take away, 46WW 872  Buea ,0x1061333b863ac0f7:0x45cdc6967dbe8c92
Kims Lounge,6 70 92 43 82,"574Q+8M8, Buea",5,2,0.009242144,,Bar, Bar ,"https://www.google.com/maps/place/Kim's+Lounge/@4.1558054,9.253146,14z/data=!4m17!1m9!2m8!1snight+club+in+buea!3m5!2sMarvel+Hotel!3s0x10613184434d5a71:0x139ef300d8ab58ed!4m2!1d9.2986465!2d4.1618231!6e5!3m6!1s0x10613177412d6935:0xe713e48bc79b5cd6!8m2!3d4.1558054!4d9.2891949!15sChJuaWdodCBjbHViIGluIGJ1ZWFaFCISbmlnaHQgY2x1YiBpbiBidWVhkgEDYmFy4AEA!16s%2Fg%2F11p0wj_rb9!5m1!1e1?entry=ttu",4.155805,9.253146,,On  site meals  Take, 574Q 8M8  Buea ,0x10613177412d6935:0xe713e48bc79b5cd6
